Student,Response,Analysis,Explanation,Critique,Advance Claim
A 63,"Charlestonês flooding problems are due to the increases in developed land areas with impermeable surfaces because having impermeable surfaces does not allow flood water to soak in. Therefore the water begins to –pile up”. The local meteorologistês claim is inaccurate because he said that the cause of Charlestonês flooding problem was an increase in precipitation. He also said that flooding did not become a problem until 2005, which is when the amount of precipitation increased. His claim is inaccurate because around 2005 on Graph 2, it shows that there were more impermeable surfaces that developed. Also, another thing to support what I am saying is that ever since 2003 the amount of impermeable surfaces steadily increases. So, with that being said, the more surfaces that water cannot pass through, the less the water drains. Whenever the meteorologist stated his claim he talked about how the annual amount of precipitation and snowfall increased, however, he did not talk about the natural, developed-permeable, and the developed-impermeable surfaces and how they played a part in Charlestonês flooding problem. Evidence supporting my claim is, –The annual precipitation data show that rain and snowfall in the area have increased steadily since about 2005. Flooding did not become a problem for the city until 2005.” This shows that the meteorologist did not talk about Graph 2 (different surfaces). Also, another piece of evidence to support my claim is that on Graph 2, at 2003 the amount of developed-impermeable surfaces is at 21, and afterwards it steadily increases. Proving that the developed-impermeable surfaces were the cause of Charlestonês flooding problem, due to the fact that an impermeable surface does not allow for the water to pass through.",3,4,4,4
A 64,There have been increases in developed land areas with impermeable surfaces and there doesnêt have to be that many areas with those kinds of surfaces because if the water doesnêt have an opening to where it needs to go then it will just go to a different place and most likely that could be a bad thing. Thatês what is causing the floods; the water is going where it shouldnêt because there are so many impermeable surfaces blocking it from where it needs to go. The meteorologistês claim is inaccurate because itês not all the impermeable surfaces it is also some natural areas that have been having troubles too. Itês not just the impermeable surfaces with the precipitation problem; it is also the natural areas that are getting a little too much precipitation and thatês making it flood. They need to have way more permeable surfaces to allow the water to go through places that need it most and not flooding the rest of the areas that donêt need it most.,,,,
A 65,"The city of Charleston was founded in the early 1900, and has grown a lot over the past 10 years. The city has built three new schools and many homes along with expanding existing roads and building more sidewalks and parking lots. But the people living in Charleston have noticed that every time it rains that the city gets flooded, and this started a problem in the little city of Charleston. Up until the big flood in 2005 the the local middle schools kids were doing serval different test to figure out the problem on why Charleston has flooded. The meteorologist said that it was precipitation that was causing the problem. But really that wasnêt the problem because there were a lot roads and buildings in 2013 so the water had not where to go so it kept building up caused the flood, but way back then there was no flooding because there was more land so the more it rained the water could just seep into the ground causing less to no floods.  ",2,4,3,4
A 66,"The population of Charles town has been having growing concerns about flooding in the city that has been starting to occur more frequently ever since the year 2005. One local meteorologist has come out and said the reason the city has been flooding more is, because there has been a steady increase of precipitation since 2005. Many other people like me though believe that the flooding has been growing because of the growing number of developed-impermeable surfaces. These are surfaces that do not allow water to run through them so water has nowhere to go. If what the meteorologist is saying is true then that means that Charlestown should have been flooding constantly back when Precipitation levels where at about 58% back around the 1970s, but the flooding problems had just started back in 2005. This doesnêt make since though because Precipitation levels were much lower than in the 1970s than in 2005. So the only logical reason that it would be flooding now is because the water has nowhere to go, because the percentage of impermeable surfaces has gone up about 23%. Now water can  no longer can drain out after a storm like it could in the 1970s so thatês the real reason that more floods are occurring because the growing number of impermeable surfaces are not letting water through not because there is more rain. While the meteorologist is correct that precipitation levels are rising. That is not the reason the city is flooding more because, remember that water levels were way higher in the 1970s than they were than in 2005 yet floods were occurring in 2005 not the 1970s this is because the water had places to drain out back then like in grass but now the water has nowhere to go because the city is growing so the percent of Impermeable places are growing. ",,,,
A 67,"The Worldês deserts are a dry place and nothing can survive, but letês talk about Charlestown. The city of Charles was a city in development and as it grew so did the needs of the growing population and with that came many things. For example, houses needed to be built and roads paved. The city over looked one mistake and that was the chance of flooding. The city lack the knowledge to know how bad a flood was coming until it finally happen and the city was in trouble. Local middle school students did the research, but made mistakes. The students did get great work but didnêt quite figure out the problem. The students said the issue was precipitation which wasnêt the case. As the city grew so did its use of resources and the city lowered the amount of natural areas. The natural areas help decrease the chance of flooding because of the grass. During 2005 the precipitation did increase as well. The precipitation rate drop drastically during the years of 1983 and 1997. After the ninetyês and eightyês the precipitation slowly increased making the rain fall a lot more usual then normal. Leaving the city in a shower. So after analyzing the data the meteorologist was wrong. The development of impermible surfaces was not the problem. The real issue was the lack of natural areas. The city is fine at were itês at.",,,,
A 68,"The meteorologist said that the reason for the increase of flooding in Charleston since 2005 was due to the increase in precipitation in Charleston since 2005. The meteorologist was incorrect when he said this. There has been more flooding in Charleston due to the growing amount of Impermeable surfaces and receding number of Permeable and natural surfaces. It is clear that the meteorologist is incorrect because the graph titled –Precipitation in land Area Coverage in Charleston (1963-2013)” shows that in 1973, the amount of precipitation was higher than it was in 2005. Since there was no flooding problem in 1973, it goes to show that increase in precipitation is not the reason for the increase in flooding. It is also apparent he is wrong because Charleston has grown a lot over the last 10 years. The increasing number of impermeable surfaces would provide good reason to believe that there would be an increase in flooding. The graph titled –Changes in land Area Coverage in Charleston” supports the idea of the growing amount of Impermeable surfaces and receding number of Permeable and natural surfaces because it shows that in 1973, the land was only 13% developed impermeable and in 2013 it was 36%. This huge increase in impermeable surfaces could easily cause more flooding.",,,,
A 69,"Many people are wondering why Charleston is flooding so much. Many people say it is because the amount of precipitation Charleston gets has increased. Which this one meteorologist says but that person may be wrong. Yes, if we have a bigger increase is rain there is more rain that they have to get rid of but that rain needs a place to go, which is peopleês homes, buildings, and streets.  Charlestonês flooding problems are because there are a lot of buildings and pavement and not enough parks, felids, and nature to absorb all that water. Ever since 2005 the amount of rain has increased but the amount of plants that can absorb the water has decreased. So the water is rising and flooding homes. But meteorologists say it is because the increases in rain that Charleston has been getting. Well if that rain had somewhere to go and be absorbed instead of flooding the streets. So if Charleston wants to say hi to unflooded homes and streets the need to increases the amount of space that can absorb water instead of holding it. ",2,4,3,3
A 70,"The meteorologistês claim is not correct because the increased amount of precipitation isnêt the cause of the excessive flooding. The rain and snow would not cause flooding if there were more permeable surfaces in the area. This is evident in Graph 1. In 1963 there was just under 60 inches of rain, and there was no issue with flooding. In 2005 however, there was only around 35 inches of water, and there was a flooding problem. I believe that Charlestonês flooding problems are due to the increase in developed land areas with impermeable surfaces. Looking at Graph 2, you can see that the amount of natural area is rapidly decreasing, and the gap between Developed-Permeable Surfaces and Developed-Impermeable Surfaces is readily increasing. This gap has made it impossible for all of the water to be soaked up, leaving it to sit and flood the city. ",,,,
A 71,"There are a lot of reasons towns and places flood, such as improper draining systems, or even a simple increase in precipitation. However, for the city of Charleston, it was neither of these things that have been wreaking havoc upon its citizens. For the quickly developing town of Charleston, there is simply too much of just that, development. There are no longer enough permeable surfaces to soak up the influx of water, causing the flooding the town has recently experienced. A local meteorologist that was called in on the issue is obviously wrong. He claimed that, –The cause of Charlestonês flooding problem is the increased precipitation. The annual precipitation data show that rain and snowfall in the area have increased steadily since about 2005.” While the meteorologist is certainly correct about an increase in precipitation, he failed to mention the drastic increase in Developed-Impermeable Surfaces that have begun to pop up in Charleston. In 2013 alone, the number of Developed-Impermeable Surfaces has nearly doubled what they were just 10 years before; in 2003.That alone is an extremely important fact because without all the pre-existing natural land in the town, the water can no longer be soaked into the ground allowing it to pool up, causing all the flooding. Overall, the town of Charleston has a problem that needs to be fixed. They should set up some kind of water draining system to allow excess water a channel to escape through. Floods can be devastating and before one truly takes its toll on the town, a solution needs to be brought to the publicês eye. ",3,4,4,4
A 72,Charleston flooding problems were to increases in developed lands . I am going to say my reasons why I claim this . then I am going to tell and the evidence that I found by reading in the paper. Tell why the local meteorologistês claim in inaccurate . I think that if they flood does take all the ground away then the people can make more room for farms and animals . and they can build houses for they can live in if they donêt have one. That they years went up then they went down because of the flood but it is going back up . From 1973 it was down really low then when it got to 2013 it went back up . that people need more room to farm or but animals because some people  have small space and they cant but all their stuff if its to small. That they need sidewalks and more schools for the kids  or teenagers can learn to go to college and stuff  like that . And maybe all of the lakes and ponds they can drain some of the water out for they will not get floods . because if they drain a lot of water out they when it rains it can full back up and they they will drain it then they will not have to worry about any floods and maybe for they lakes they can build a dam for they can let the water out and the water can go to some other river or something. ,,,,
A 73,"Charlestonês flooding problems are due to the increases in developed land areas with impermeable surfaces. The meteorologistês argument is inaccurate because he says that the increased precipitation has led to local flooding, but that is not the case.  It has simply been flooding because of the amount of growing and building the city has done. There used to be plenty of space for all of the rain to go when it  rained, but now since the city has built three new schools, many homes, new roads, sidewalks, and parking lots, there isnêt as much space left for the rain to be put in the ground. Before all of the expansion of the city happened, there was plenty of space all over for the rain to meet the ground and therefore be soaked into the ground but now thereês barely any space left because all the ground has been covered by numerous amounts of assault, concrete, etc. The meteorologistês argument was inaccurate because of the logic that was used. He says that the cause of Charlestonês flooding problem is the increased precipitation, but that cannot be the case. In the graphs put together by the students, it shows that the precipitation in 1963 was the same amount as the precipitation in 2013. Charleston flooded in 2013, but it did not flood in 1963. If the precipitation in the same then it would have flooded in 1963 as well, this is what proves that the meteorologistês argument was not valid. ",4,3,4,4
A 74,"The meteorologistês claim is inaccurate. In 1973 there was a very high amount of precipitation, almost the same exact amount thatês happening in 2013. It is very unlikely that the cause of the flood is because the huge amount of precipitation. In 2005 when it started flooding, the amount of precipitation was actually close to one of the lowest amounts itês ever been before in Charleston. The real problem causing the flood would be the different kinds of surfaces around the city. From 1973-2003 the amount of natural areas were from 75-62. After 2003 it dropped down to 45. When it dropped down to 45, the developed-impermeable surfaces raised. There were only 21, but it quickly rose to 36 in just 10 years.  Also the amounts of developed-permeable surfaces have raised just a little, which shouldnêt have affected much since it was such a little amount raised just like every other year. The main cause of the flood is the city not having enough natural areas for the rain to go, which it needs. Another cause would be too much developed-impermeable surfaces around the city. With too much of it the rain, snow, sleet etc. has nowhere else to go. Since it cannot sink into the surface it will have to stay on top of the surface causing a flood. In 2013 the natural areas are only nine away from the developed-impermeable surface. If the amount of natural areas keep lowering and the amount of developed-impermeable surfaces keep rising, then there is a good chance the city of Charleston will no longer be a city, because the flooding will just keep getting worse and worse if they do not make a change soon. ",3,3,4,4
A 75,With the increase of precipitation the town Charlestonês has be seeing more flooding starting to accrue in 2005. With the population growing the town has more impermeable surfaces causing the water to sit and not soak into the ground causing the flooding. But the increase of people could be the problem that the town in having not the increase in precipitation because on the graph that I have been given it shows that the townês precipitation was increased around 1963 but they werenêt having a problem with flooding. In 1963 the town had more natural areas for the water to soak into allowing it not to be able to flood. In 2003-2013 the natural areas have decreased a bunch and a lot more impermeable surfaces have been built. The argument could go both ways for either the students or the local meteorologist. Because the town has been seeing the increase of precipitation but the town also has been seeing an increase in population. So either of these problems could be causing the problem. ,4,4,0,1
A 76,The information in the story talks about what the Charleston group thinks about all the floodingês and what they can do about the land areas to decrease the flooding and I think that the city should come together and change things up  around there –land”  so they can Improve on not having floods anymore ,0,2,0,0
A 77,"The meteorologistês argument was that the precipitation has increased therefore that is the reason why Charleston is having flooding problems. I disagree with that because it seems like he only look at one graph instead of both. In the first graph its shows the amount of precipitation and it has increased steadily but so has the developed-impermeable surfaces (areas that do not let water go through). In graph two it shows that the developed-impermeable surfaces have increased whereas the natural areas, the places that let water go through, have decreased. In 1973 there was only 13% of developed-impermeable surfaces used and 75% of natural land. In 2013 there was 36% of developed-impermeable surfaces and 45% of natural areas left. So as the precipitation is increasing so is the land that wonêt let water go through, which leaves resting water that can build up to be a flood. And if the precipitation keeps on increasing and  if Charleston doesnêt get more natural land or make more developed-permeable surfaces (areas that will allow water to go through) the floods will continue to grow worse.",4,4,4,4
A 78,"In Charleston every time it rained heavily the people noticed that it starts to flood. Flooding was never a problem for Charleston until about 2005, but the floods have increased since then. Most of the citizens were worried because flooding can be very dangerous and cause damage. The students collected data about the cityês precipitation over the last 50 years and the amount of land used for different purposes. In 1973 the natural areas it was 75% in the developed permeable surfaces was 12%. The Meteorologists are incorrect because the changes in the land areas never went over 75% and the lowest it ever went was to 45% in the natural areas , and the lowest it went in the permeable was 12%. the floods were never to serious to cause major damage.  ",1,2,3,0
A 79,"A local middle school science class is investigating why there city of Charleston has a growing precipitation level. This is causing more flooding. That causes people in the city to worry about property damage or worse. I think that the average precipitation has increased over time. Also the natural areas are getting smaller from buildings are getting bigger and more are being built. This make it where the water has no place to go but into the city and on to man made things. The flooding is caused by the more manmade objects in the city. More things you put closer together it makes it hard for the water to drain off. That causes flooding in the city. If people would stop building they would see that the average flooding would come to about the same amount each time. The more increased developed land areas cause more flooding from impermeable surfaces  I believe the meteorologist claim is inaccurate. I think this because the rain have be heavy or light but, the changes of the land and building cause different data. He didnêt conclude that into his data. He only thought of the rain percentage. If you put the development of cities and towns into the data, the data would be completely different. I believe there is more flooding from the more building and pavements. This causes all the water to run off to manmade things. For example like a soccer field. If we would take out most large objects the water would be able to reach lakes and rivers but the manmade objects and blocking the water from going there. This can cause water damage and other terrible things. If they live in valleys or anything low it can cause more damage.  It just depends on where the buildings are. How much water there is what season it is and other things. That is why you need  to understand the land. ",,,,
A 80,I am here to argue on why the meteorologist is right and you are wrong for trying to disprove him. You say the meteorologist is wrong about his/her work well I think may just change your mind for you so then we can both think he/she is right. First off why the meteorologist is right is because he/she says that it is an increase of precipitation is water and why wouldnêt it be that? He/She also states that it has increased recently due to precipitation –The annual precipitation data shows that rain and snowfall in the areas have steadily since about 2005.” He also says that the flooding did not increase until 2005 which he also states that is because precipitation had led to local areas making it flood.                                                                         ,2,2,0,0
A 81,"The city of Charleston has been growing and growing for the past 10 years. Recently flooding has become an issue in the city. After a local middle school science class studied the cityês land use a precipitation patterns, they figured out that there has been a huge increase in developed- Impermeable surfaces in the city. According to a local meteorologist the flooding of the city has been caused by the growing rate of precipitation. He claims that the precipitation has had a steady increase since 2005 and that flooding had not become a problem until 2005, but the real problem is how the city is using their land. The growing city of Charleston has been expanding their city for the last 10 years by developing permeable surfaces, impermeable surfaces, and leaving some of the natural surfaces. After the local school science class studied the land use and precipitation and recorded their data, you can see very clearly in the charts that the amount of developed impermeable surfaces has increased rapidly from 2003 to 2013. While the precipitation has also increased, that is not the main problem. The water from the precipitation does not have as much space to go through, due to the huge amount of impermeable surfaces in the city. While it can go through the permeable and natural surfaces, there are not as many of those since 2003 when the impermeable surfaces increased.  –The cause of Charlestonês flooding problem is the increased precipitation. The annual precipitation data show that rain and snowfall in the area have increased steadily since about 2005. Flooding did not become a problem for the city until 2005. Therefore, increased precipitation has led to local flooding.” This local meteorologist is not incorrect, but he isnêt fully looking at all of the factors in the city. The increase in precipitation is a cause of the recent flooding problems, but it is not the main cause. The increase of the impermeable surfaces are decreasing the amount of land that the water can seep into, therefore causing the water to stay above surface and causing the land to flood.  The increased flooding in Charleston during the past 10 years has many different factors that have caused in. Not only has the land expanded into much more impermeable space, but there has also been a huge increase in precipitation rates. The city has taken away all of the area for the water to go into the ground.  While the precipitation has had a mass jump and almost doubled in annual inches, the real problem is that all this precipitation has nowhere to go.  If the city would have added more permeable surfaces and kept more of the natural surfaces, then the increase of precipitation would not have affected the city as much, and the flooding would not have become a problem. ",4,4,4,4
A 82,"In Charlestonês there is a flooding problem. In Charleston the flooding is changes the land and the land will increases over the years. Like in 1973 75% of natural areas changed.  Also 12% of developed-permeable surfaces were destroyed and 13% of developed-impermeable surfaces. Then in 2013 45% of natural areas were changed, 19% of developed-permeable surfaces, and 36% developed-impermeable surfaces changed. In 2013 natural areas went down but the others went up! As the years go by natural areas, developed-permeable surfaces and developed impermeable surfaces can go down. A lot of land is changing throughout the years but it is going down. The local meteorologistês is inaccurate. They are inaccurate because in 2005 the developed-permeable surfaces and developed-impermeable surfaces were low. But in 2013 they went up. In 1973 there was a problem but not as bad in 2005. In 1973 there were a lot of natural areas that got destroyed. But in 2005 there were more of developed-permeable surfaces and developed-impermeable surfaces that got destroyed. In 2013 there has been more damage than the other years.  Even though the natural areas werenêt that bad. Charleston has had a lot of flooding problems over the year and a lot of damage. ",,,,
A 83,"Charlestonês flooding problems are due to the increased developed land because of the impermeable surfaces.  The reason Charleston is flooding more than it has flooded in the past is due to the developed- impermeable surfaces like sidewalks, buildings and roads.  In ten years, more schools and more houses have been built. When more schools and houses have been built there is a lesser amount of grass and forest areas due to the fact of the schools and houses taking up more space. From 1973 to 2013, the percent of natural areas has gone down thirty percent. Whereas, the percent of the developed- Impermeable surfaces has gone up twenty-four percent.  The local meteorologistês claim is inaccurate because they claim that the cause of Charlestonês flooding problem is due to the increased amount of precipitation, which is not the reason. Even though Charleston has gotten a lot more precipitation over the years, the flooding is due to there being more of the developed- impermeable surfaces.  The graph that was shown showed that in 2013 (the highest percent of the developed impermeable surfaces) was at twenty-six percent and that the average precipitation was at sixty inches.  Even though there was more precipitation, there was more impermeable surfaces so that precipitation had no where else to go, so the city got flooded. ",3,4,4,4
A 84,"Flooding is a difficult problem and should be taken care of in Charleston. The residents need a solution. For it to be fixed, the students that are investigating must first know the real cause of the increase in flooding. The meteorologistês claim is inaccurate. He says that the flooding is only because of the increase in precipitation. This is not true, though. According to the graph, between 1963 and 1973, there was about the same amount of precipitation as there has been from 2005 to now. However, the flooding has only been a problem now since 2005, and it wasnêt a problem from 1963-1973. That means something else is the cause of the current floods. He didnêt think about the changes in the land area coverage. Charlestonês floods are due to the fact the amount of developed-impermeable land areas has increased and the amount of natural areas has decreased. The second graph shows that over the years, the amounts of developed-impermeable and developed-permeable land areas have both increased. It shows that the amount of natural land areas has significantly decreased. This evidence is the cause of the flooding because natural areas absorb a lot of precipitation, therefore preventing the floods in the past, but developed-impermeable areas donêt absorb any of the snow or rain. Now that there is less natural land areas and more impermeable ones, there are less places for the precipitation to go, thus the flooding happens. Charlestonês floods are caused by the increase in the amount of developed-impermeable land areas and the decrease in the amount of natural areas. Now that the students know the cause of the flooding in their town, they and others can begin to take steps to fix it. They could try to create more natural land areas by planting lots of trees and vegetation in certain areas, or they could try to decrease the amount of developed- impermeable land areas and stop making new ones. In addition, a new type of draining system could be created for the city of Charleston. Whichever way they choose to fix it, the flooding in Charleston can now be fixed.",4,4,4,4
A 85,"The meteorologist claims that the cause to the flooding is the amount of precipitation. Yes it is true that there has been an increase in precipitation over the past 10 years, but that doesnêt mean that itês the cause of the flooding. He claims –Flooding didnêt become a problem for the city until 2005,” but according to the precipitation patterns, flooding was a problem back in 1973 as well.  There was a lot of natural land present at that time with very little impermeable-developed surfaces. In 2013 there are more impermeable-developed surfaces, but with more flooding. So what does this tell you? Itês not because of the precipitation. Impermeable-developed surfaces are surfaces that humans have created with materials that donêt allow water to go through. This includes sidewalks, buildings, and roads. Permeable-developed surfaces are areas that humans created with materials to allow water to run through them. An example is a soccer field covered with grass. These materials are the cause of the flooding. The impermeable materials, for example a building, allow water to run off of them and into a place where water is allowed. The water then runs off into, for example, a soccer field. The water keeps running off of the building and onto the soccer field until it stops raining. Eventually this causes the field to flood. When there was a lot of natural land in Charleston, there was a lot of flooding. Thatês because the land would just soak it all up, and then would flood. As impermeable and permeable materials started to be made, the flooding went down. Then in 2013, there was almost the same amount of impermeable materials as there was natural land. This was causing the flooding because of all the surfaces that couldnêt absorb water. The water has to go somewhere, and it just happened to go to the natural land where water is absorbed. ",4,4,4,4
A 86,The amount of rain might be a lot higher after 2005 but it had also been that high before. They also donêt have as much natural areas after 2003 it starts to rapidly go down as developed permeable surfaces and developed impermeable surfaces go up making it  a lot harder for the rain to absorb in to the ground causing more floods. The meteorologist just could also be right though because  if it rained all the time the water  would eventually not be able to absorb in the ground and cause  more flooding. But just the amount of rain donêt mean anything if there a open fields because the rain will absorb but if you make those fields in to towns or more of a city it give it the more chance to flood with the rain just going in the storm drains but eventually they will over flood causing more flooding.,,,,
A 87,"Charlestonês flooding problems are due to the increases in developed land areas with impermeable surfaces. I think the local meteorologistês claim is inaccurate because flooding is not caused by more precipitation. There was more precipitation since 2005 but that is not the reason for the flooding. I believe the flooding is due to the increase in developed land areas with impermeable surfaces. Ever since about 2005 the increase in impermeable surfaces is a lot more significant compared to the increase in inches of precipitation. First of all, flooding cannot be due to increased precipitation because floods cannot be caused by about 20 inches more rain in the span of 8 years. Flooding due to increased precipitation would have to have a lot more than that ratio. There would have to be more inches of rain increased in a shorter amount of time for it to cause flooding all of a sudden. Floods canêt just happen in that long span of time with on that amount of increase. Second of all, I think the flooding was caused by increased developed impermeable surfaces. I think this because the percentage went up a lot in the same span of time the precipitation increased, but the surfaces make a lot more of a difference because the water can fill up a lot faster and flood a lot easier due to surfaces and water and make flooding increase a lot more.  The surfaces most likely made curved surfaces that would hold up water a lot more and caused flooding a lot easier than before. This would have caused a lot mo0re flooding than just a few more inches of rain. Lastly, the flooding was caused by increased developed impermeable surfaces and not precipitation. I believe this claim because the surfaces make a bigger difference than a little more rain. A few more inches of rain doesnêt compare to a big percentage difference in increased impermeable surfaces. Again, surfaces make a lot more difference because they hold up the water a certain way and rain just sink into the ground depending on the surface. So really, the surface plays a lot bigger of a role than the increased precipitation. In conclusion, I think flooding was caused by increased developed impermeable surfaces and not increased precipitation. I believe this because surfaces play a bigger role than increased precipitation.  The surfaces hold up the water and the water depends on the surface, so flooding was caused especially by impermeable surfaces being increased. ",4,4,4,3
A 88,"Charlestonês flooding problem is because of the impermeable surfaces being created all over the town. Impermeable surfaces are areas that humans have created with materials that do not allow water to go through like sidewalks, buildings, and roads. If water canêt go through the land then there will be no place for it to go there for flooding happens. First of all, in graph two in 1973 there was most nature covered land but as it went on to 2005 and so on it got worst as more humans were building more sidewalks, buildings, and roads. The meteorologists claim is inaccurate because he said the flooding was due to increases in the precipitation. It should actually be the increase in the impermeable surfaces. Yes, the precipitation has increased but that is not the problem of flooding if there werenêt as many buildings and roads then the water could flow off to the lakes, rivers, and streams. The impermeable surfaces are the reason for the flooding not the precipitation increases. The flooding problem since 2005 is not because if the precipitation but the amount of impermeable surfaces being added on in that town. If the water has no place to go then it will settle in one spot and have no place to go because of the buildings. To make the flooding stop they need to make more paths for the water to flow.",,,,
A 89,"The meteorologist, in his argument about the Charleston flooding, stated that –The cause of Charlestonês flooding problem is from the increased precipitation.” When looking at the graph that the students made about Annual Average Precipitation, around 1973 they had almost the same amount of precipitation (51-57) as they did around the year 2013 (45+) . Yes, they did have an increasingly amount of rainfall from 2005-2015, but if they still had permeable surfaces like they did in 1973 to around 2005, flooding would not be the problem. The real reason as to why the town of Charleston is flooding so often is due to the increases of developed land areas with impermeable surfaces. When reading the article about the flooding problem, it stated that Charleston increased in population by adding many homes and schools. Along with schools and homes, they added on to roads and made many more roads and those things are impermeable. As many may know, impermeable means that things do not soak through so when it rained. So water from when the rained just sat in the road and caused it to flood. Also, when I looked at the first graph made by the students, as I said above, the rain amount was about the same amount in 1973 and in 2005. Also, in the second graph in 1973, they had more Natural areas, therefore 75% of the precipitation soaked through, but in 2013, they had about the same amount of impermeable surfaces as they did natural area so therefore the precipitation did not soak  through and that is what caused the town of Charleston to flood. ",4,4,4,4
A 90,"The claims made by the meteorologist that read as follows, –The cause of Charlestonês flooding problem is the increased precipitation. The annual precipitation data shows that rain and snowfall in the area have increased steadily since about 20015. Flooding did not become a problem for the city until 2005. Therefore, increased precipitation has led to local flooding.”, Is false. The reason this claim is false is because in about 1963 there was an average precipitation of about 69 in. There was no reported flooding during this time. In 2013 there is also a recorded 69 in. of precipitation. The only thing that can explain the sudden flooding would be the changes in land area coverage in Charleston. I believe that the rise in developed-impermeable surfaces from 2003 to 2013 is to blame for the flooding. I also believe that this combined with the large decrease in natural areas is also to blame. This would mean that Charlestonês flooding problems are due to the increases in developed land areas with impermeable surfaces. I believe that the impermeable surfaces are causing water to back up because water is not able to flow through them as well as it is able to through a forest or soccer field.  From 2003 to 2013 there have been 15 more developed-impermeable surfaces, 2 more developed-permeable surfaces, and 17 less natural areas. Back in 1973 there was a very similar precipitation average of 69 in. the only difference between these two years is that is 1973 there were 75 natural areas, 12 developed-permeable areas, and 13 developed-impermeable areas. In 20013 there were 45 natural areas, 19 developed-permeable areas, and 36 developed-impermeable areas. Back in 1973 there was less natural and permeable land for water to flow in and less impermeable land to block the flow of water. So the solution to the flooding problem is to either make more natural areas and permeable areas or make more run offs or water reservoirs. The evidence I provided proves that Charlestonês flooding problems are caused by the increase in developed-impermeable areas and the decrease of both natural and developed-permeable areas.",4,4,3,3
A 91,"The cause of Charlestonês flood problem is the fact that there are too many developed land areas with impermeable surfaces.  Some ways to stop the problem is to make a way so that the water can drain down into the dirt, where it can keep going down. The flooding is helped by the increase in precipitation, but is NOT caused by it. The percentage of developed permeable surfaces has increased from 1983-2013 by small little increments of one or two. What it means by Developed-Permeable Surfaces is a developed area where water can seep through. Itês like a soccer ball field. However, the percentage in Developed-Impermeable Surfaces has jumped in steps and leaps. In 1993 it was only 18%. Ten years later it was 21%, not that big of a jump. Then in 2013, it was a whopping 36% compared to last yearês statistics. Thatês quite a large leap. Impermeable means to not let through. When you add water, it just stays there. The meteorologists claim that the increase in rain is the cause of the increase in flooding. This is wrong. The increase in rain is not the only factor for floods. Another thing that matters is Developed-Impermeable Surfaces. These surfaces hold water on top and just leave it there, the only way for it to leave is to be evaporated. Then the water continues to build up. As the water builds up it spreads and goes all over the place. A way to stop all the flooding would be to make a way for the water to drain. Get it so that the water flows into the sewer or something, but you need a way to get rid of the water.",4,4,3,4
A 92,"As mankind becomes more modernized, simple problems ranging from freak waves to insane weather can turn into bigger, more dangerous problems. The city of Charleston has recently been suffering from a problem relating to rain and flooding. Residents of the city are afraid that the heavy precipitation will cause damage to their homes. A local meteorologist presented an argument to the public but a class from a local middle school has come up with an even better solution. The meteorologistês argument that states: –The cause of Charlestonês flooding problem is the increased precipitation. The annual precipitation data show that rain and snowfall in the area have increased steadily since about 2005. Flooding did not become a problem for the city until 2005. Therefore, increased precipitation has led to local flooding.” From the surface, it looks like the meteorologist did a good job on making his claim. It seems like he knows what he was doing when he wrote this statement and you would think there would be evidence to back this claim up. I disagree with this statement. Instead I think the reason why Charleston has flooding problems is because of the increases in developed land areas with impermeable surfaces (areas humans have created that do not allow water to go through). Letês start off by looking at changes in land area coverage in Charleston between 1973 and 2013. In 1973, 75% of land in Charleston was natural areas (areas that have not been touched by man). 12% of this land was developed, permeable surfaces (manmade surfaces that allow water to seep through) and 13% was the Developed, Impermeable surfaces. Over the years the amount of natural areas started to decrease, and the manmade surface types started to increase. By 2003, 62% of Charleston was nature areas, 17% were permeable surfaces, and 21% were impermeable surfaces. 10 years later, 45% of the land area in Charleston was natural areas, 19% were permeable surfaces, and 36% were impermeable surfaces.Now letês look at precipitation patterns, between 1963 and 1973, precipitation in Charleston was decreasing at a steady rate from 50 inches to almost 40 inches within a period of 10 years. Between 1973 and 1983, precipitation declined at a steady rate but stopped and remained at a rate between 30 inches and 40 inches. Between 1983 and 1993, the precipitation rate was going back and forth between different values but in the end, the precipitation rates ended at 30 inches for that year. Then between 1993 and 2003, precipitation rates started to skyrocket back to 35 inches by the end of 2003. Finally, between 2003 and 2013, precipitation rates skyrocketed. Starting at 35 inches and ending at almost 60 inches.The relationship between the precipitation patterns and the area coverage in Charleston tells me a lot about why the increase in flooding has become such a problem. The more that Charleston modernized the more floods it experienced. The natural areas and permeable surfaces in Charleston took in the precipitation whenever it rained or whenever it snowed.  Between 2003 and 2013, with more impermeable surfaces becoming common in Charleston, precipitation rates and flooding became more common on Charleston as well. The meteorologist is wrong because his claim that rain in Charleston increased steadily between 2005 and 2013 is wrong because the precipitation rates were skyrocketing during that period. A combination between increased precipitation and non-permeable surfaces is causing Charleston to experience more profound flooding than ever before because since those surfaces are becoming more common, and do not absorb water very well, the water has nowhere to go but on the streets. Mankind needs to improve on balancing natural areas with manmade, permeable surfaces that allow water to seep through if Charleston wants to find a possible solution to this problem. ",4,4,4,4
